
─── Fold 0/92 ───
[fold 0] epoch   10 | train   57.62 | val   21.01 | rotLSD   3.71
[fold 0] epoch   20 | train   16.96 | val    5.07 | rotLSD   1.47
[fold 0] epoch   30 | train    4.81 | val    2.55 | rotLSD   0.99
[fold 0] epoch   40 | train    2.23 | val    2.23 | rotLSD   0.92
[fold 0] epoch   50 | train    1.99 | val    2.12 | rotLSD   0.88
[fold 0] epoch   60 | train    1.87 | val    1.98 | rotLSD   0.85
[fold 0] epoch   70 | train    1.76 | val    1.89 | rotLSD   0.83
[fold 0] epoch   80 | train    1.70 | val    1.83 | rotLSD   0.83
[fold 0] epoch   90 | train    1.63 | val    1.76 | rotLSD   0.78
[fold 0] epoch  100 | train    1.57 | val    1.69 | rotLSD   0.76
[fold 0] epoch  110 | train    1.51 | val    1.62 | rotLSD   0.73
[fold 0] epoch  120 | train    1.45 | val    1.56 | rotLSD   0.72
[fold 0] epoch  130 | train    1.38 | val    1.43 | rotLSD   0.70
[fold 0] epoch  140 | train    1.31 | val    1.37 | rotLSD   0.66
[fold 0] epoch  150 | train    1.23 | val    1.30 | rotLSD   0.63
[fold 0] epoch  160 | train    1.18 | val    1.26 | rotLSD   0.61
[fold 0] epoch  170 | train    1.15 | val    1.25 | rotLSD   0.62
[fold 0] epoch  180 | train    1.12 | val    1.22 | rotLSD   0.60
[fold 0] epoch  190 | train    1.11 | val    1.21 | rotLSD   0.62
[fold 0] epoch  200 | train    1.09 | val    1.19 | rotLSD   0.59
[fold 0] epoch  210 | train    1.09 | val    1.20 | rotLSD   0.61
[fold 0] epoch  220 | train    1.07 | val    1.17 | rotLSD   0.61
[fold 0] epoch  230 | train    1.06 | val    1.16 | rotLSD   0.60
[fold 0] epoch  240 | train    1.06 | val    1.13 | rotLSD   0.59
[fold 0] epoch  250 | train    1.05 | val    1.18 | rotLSD   0.60
[fold 0] epoch  260 | train    1.04 | val    1.17 | rotLSD   0.59
[fold 0] epoch  270 | train    1.04 | val    1.14 | rotLSD   0.59
[fold 0] epoch  280 | train    1.03 | val    1.16 | rotLSD   0.60
[fold 0] epoch  290 | train    1.03 | val    1.18 | rotLSD   0.59
[fold 0] epoch  300 | train    1.02 | val    1.12 | rotLSD   0.57
[fold 0] epoch  310 | train    1.03 | val    1.15 | rotLSD   0.58
[fold 0] epoch  320 | train    1.01 | val    1.13 | rotLSD   0.58
[fold 0] epoch  330 | train    1.00 | val    1.14 | rotLSD   0.58
[fold 0] epoch  340 | train    1.00 | val    1.10 | rotLSD   0.57
[fold 0] epoch  350 | train    0.99 | val    1.10 | rotLSD   0.57
[fold 0] epoch  360 | train    1.00 | val    1.11 | rotLSD   0.56
[fold 0] epoch  370 | train    1.01 | val    1.11 | rotLSD   0.58
[fold 0] epoch  380 | train    0.99 | val    1.11 | rotLSD   0.57
[fold 0] epoch  390 | train    0.99 | val    1.11 | rotLSD   0.59
[fold 0] epoch  400 | train    0.98 | val    1.11 | rotLSD   0.55
[fold 0] epoch  410 | train    0.98 | val    1.07 | rotLSD   0.59
[fold 0] epoch  420 | train    0.98 | val    1.07 | rotLSD   0.58
[fold 0] epoch  430 | train    0.96 | val    1.11 | rotLSD   0.57
[fold 0] epoch  440 | train    0.97 | val    1.14 | rotLSD   0.60
[fold 0] epoch  450 | train    0.97 | val    1.14 | rotLSD   0.56
[fold 0] epoch  460 | train    0.96 | val    1.08 | rotLSD   0.56
[fold 0] epoch  470 | train    0.97 | val    1.15 | rotLSD   0.63
[fold 0] epoch  480 | train    0.96 | val    1.08 | rotLSD   0.55
[fold 0] epoch  490 | train    0.96 | val    1.15 | rotLSD   0.57
[fold 0] epoch  500 | train    0.95 | val    1.09 | rotLSD   0.56
[fold 0] epoch  510 | train    0.95 | val    1.01 | rotLSD   0.52
[fold 0] epoch  520 | train    0.94 | val    1.10 | rotLSD   0.56
[fold 0] epoch  530 | train    0.95 | val    1.11 | rotLSD   0.56
[fold 0] epoch  540 | train    0.95 | val    1.15 | rotLSD   0.59
[fold 0] epoch  550 | train    0.95 | val    1.09 | rotLSD   0.57
[fold 0] epoch  560 | train    0.95 | val    1.08 | rotLSD   0.56
[fold 0] epoch  570 | train    0.93 | val    1.10 | rotLSD   0.56
[fold 0] epoch  580 | train    0.94 | val    1.05 | rotLSD   0.58
