
─── Fold 0/92 ───
[fold 0] epoch   10 | train  121.56 | val  122.02 | rotLSD  23.47
[fold 0] epoch   20 | train  110.69 | val  110.89 | rotLSD  19.32
[fold 0] epoch   30 | train   98.91 | val   99.03 | rotLSD  16.77
[fold 0] epoch   40 | train   86.65 | val   86.67 | rotLSD  13.63
[fold 0] epoch   50 | train   74.27 | val   74.18 | rotLSD  12.05
[fold 0] epoch   60 | train   62.08 | val   62.01 | rotLSD   9.48
[fold 0] epoch   70 | train   50.66 | val   50.55 | rotLSD   7.76
[fold 0] epoch   80 | train   40.21 | val   40.13 | rotLSD   6.50
[fold 0] epoch   90 | train   31.08 | val   31.02 | rotLSD   5.23
[fold 0] epoch  100 | train   23.35 | val   23.33 | rotLSD   4.39
[fold 0] epoch  110 | train   17.12 | val   17.11 | rotLSD   3.49
[fold 0] epoch  120 | train   12.28 | val   12.27 | rotLSD   2.81
[fold 0] epoch  130 | train    8.65 | val    8.66 | rotLSD   2.22
[fold 0] epoch  140 | train    6.07 | val    6.09 | rotLSD   1.78
[fold 0] epoch  150 | train    4.31 | val    4.34 | rotLSD   1.45
[fold 0] epoch  160 | train    3.18 | val    3.20 | rotLSD   1.20
[fold 0] epoch  170 | train    2.44 | val    2.46 | rotLSD   1.00
[fold 0] epoch  180 | train    1.95 | val    1.98 | rotLSD   0.89
[fold 0] epoch  190 | train    1.60 | val    1.61 | rotLSD   0.75
[fold 0] epoch  200 | train    1.36 | val    1.35 | rotLSD   0.67
[fold 0] epoch  210 | train    1.21 | val    1.18 | rotLSD   0.62
[fold 0] epoch  220 | train    1.10 | val    1.06 | rotLSD   0.56
[fold 0] epoch  230 | train    1.03 | val    1.00 | rotLSD   0.55
[fold 0] epoch  240 | train    0.97 | val    0.95 | rotLSD   0.52
[fold 0] epoch  250 | train    0.94 | val    0.90 | rotLSD   0.52
[fold 0] epoch  260 | train    0.92 | val    0.88 | rotLSD   0.54
[fold 0] epoch  270 | train    0.89 | val    0.87 | rotLSD   0.51
[fold 0] epoch  280 | train    0.88 | val    0.86 | rotLSD   0.51
[fold 0] epoch  290 | train    0.87 | val    0.85 | rotLSD   0.49
[fold 0] epoch  300 | train    0.85 | val    0.84 | rotLSD   0.48
[fold 0] epoch  310 | train    0.84 | val    0.86 | rotLSD   0.49
[fold 0] epoch  320 | train    0.83 | val    0.84 | rotLSD   0.46
[fold 0] epoch  330 | train    0.82 | val    0.84 | rotLSD   0.47
[fold 0] epoch  340 | train    0.82 | val    0.83 | rotLSD   0.45
[fold 0] epoch  350 | train    0.81 | val    0.83 | rotLSD   0.46
[fold 0] epoch  360 | train    0.80 | val    0.84 | rotLSD   0.49
